,0
ENSG00000163362.9,18
ENSG00000186301.8,14
ENSG00000123685.7,15
ENSG00000184515.9,1
ENSG00000168078.8,16
ENSG00000152556.14,2
ENSG00000236333.3,25
ENSG00000108309.11,6
ENSG00000224660.1,4
ENSG00000267254.4,5
ENSG00000184678.9,10
ENSG00000143878.9,3
ENSG00000119703.13,13
ENSG00000168899.4,4
ENSG00000104381.11,20
ENSG00000275894.1,2
ENSG00000133216.15,4
ENSG00000196935.7,25
ENSG00000100505.12,1
ENSG00000260802.1,9
ENSG00000156509.12,1
ENSG00000204580.10,3
ENSG00000167034.9,8
ENSG00000136010.12,17
ENSG00000106809.9,3
ENSG00000206177.5,4
ENSG00000135862.5,13
ENSG00000130528.10,66
ENSG00000154016.12,11
ENSG00000139679.14,32
ENSG00000103534.15,6
ENSG00000105612.7,16
ENSG00000105717.12,9
ENSG00000168268.9,19
ENSG00000197405.6,14
ENSG00000175866.14,7
ENSG00000171659.12,4
ENSG00000132514.12,28
ENSG00000163898.8,28
ENSG00000109062.8,5
ENSG00000124762.12,5
ENSG00000111275.11,22
ENSG00000243064.7,19
ENSG00000204681.9,4
ENSG00000272870.1,8
ENSG00000134548.8,9
ENSG00000124191.16,42
ENSG00000214193.8,46
ENSG00000250771.2,13
ENSG00000075213.9,4
ENSG00000158296.12,18
ENSG00000139971.14,14
ENSG00000152377.11,10
ENSG00000214063.9,10
ENSG00000202474.1,7
ENSG00000115602.15,20
ENSG00000101162.3,1
ENSG00000152104.10,6
ENSG00000165490.11,2
ENSG00000109255.10,7
ENSG00000168938.5,7
ENSG00000105464.3,6
ENSG00000180611.6,9
ENSG00000183250.10,2
ENSG00000070087.12,1
ENSG00000212978.6,9
ENSG00000124134.7,1
ENSG00000182873.5,7
ENSG00000170989.8,5
ENSG00000136802.10,3
ENSG00000138166.5,3
ENSG00000133612.17,3
ENSG00000186469.7,5
ENSG00000151632.15,3
ENSG00000115255.9,5
ENSG00000111057.9,4
ENSG00000159618.14,3
ENSG00000173846.11,4
ENSG00000274349.3,13
ENSG00000089159.14,9
ENSG00000167434.8,7
ENSG00000101213.6,2
ENSG00000157404.14,4
ENSG00000186994.10,1
ENSG00000204252.11,9
ENSG00000103942.11,9
ENSG00000103253.16,11
ENSG00000105352.9,2
ENSG00000158485.9,4
ENSG00000167600.12,22
ENSG00000129757.11,6
ENSG00000185222.7,2
ENSG00000117525.12,1
ENSG00000102854.13,5
ENSG00000005108.14,9
ENSG00000007402.10,1
ENSG00000275966.1,13
ENSG00000171729.12,8
ENSG00000105655.17,2
ENSG00000075218.17,1
ENSG00000182752.9,1
ENSG00000108852.13,4
ENSG00000260816.2,6
ENSG00000212747.4,22
ENSG00000256797.1,3
ENSG00000130513.6,4
ENSG00000261971.5,8
ENSG00000123700.4,11
ENSG00000142949.15,2
ENSG00000178053.16,8
ENSG00000157240.3,1
ENSG00000198597.7,6
ENSG00000183230.15,13
ENSG00000099284.12,8
ENSG00000129521.12,7
ENSG00000171368.11,1
ENSG00000265190.5,2
ENSG00000197555.8,16
ENSG00000164100.8,2
ENSG00000138646.7,13
ENSG00000066382.15,12
ENSG00000277224.1,1
ENSG00000173210.18,4
ENSG00000258227.5,6
ENSG00000137168.7,6
ENSG00000177283.5,3
ENSG00000144407.8,3
ENSG00000196549.9,10
ENSG00000004939.12,6
ENSG00000002933.6,2
ENSG00000132436.10,3
ENSG00000164056.9,12
ENSG00000005471.14,4
ENSG00000154134.13,1
ENSG00000124019.9,5
ENSG00000130962.16,5
ENSG00000133742.12,5
ENSG00000188175.8,3
ENSG00000197465.12,8
ENSG00000164181.12,3
ENSG00000198846.5,1
ENSG00000126458.3,6
ENSG00000125910.5,6
ENSG00000140836.13,2
ENSG00000227502.2,5
ENSG00000229619.3,12
ENSG00000075223.12,11
ENSG00000124491.14,11
ENSG00000187244.9,8
ENSG00000279092.1,3
ENSG00000279281.1,2
ENSG00000180229.11,1
ENSG00000196562.13,4
ENSG00000198756.9,17
ENSG00000153944.9,5
